Gene;ko;Pathway;compound_pathway
nylB;K01453;D_Nylon;Polymers
nylC;K19963;D_Nylon;Polymers
OA86_11720;K21104;D_PET;Polymers
OA86_11720;K21104;D_PCL;Polymers
OA86_11720;K21104;D_PU;Polymers
PaCLE1;K27358;D_PCL;Polymers
PaCLE1;K27358;D_PBSA;Polymers
PaCLE1;K27358;D_PBS;Polymers
PaCLE1;K05972;D_PCL;Polymers
PaCLE1;K05972;D_PBSA;Polymers
PaCLE1;K05972;D_PBS;Polymers
pbsA;K21104;D_PBS;Polymers
pclh;K21104;D_PCL;Polymers
pDS-PS;K05973;D_PHB;Polymers
pDS-PS;K05973;D_PHA;Polymers
pegA;K00108;D_PEG;Polymers
pegA;K19069;D_PEG;Polymers
pegC;K00128;D_PEG;Polymers
peth;K21104;D_PU;Polymers
peth;K21104;D_PCL;Polymers
peth;K21104;D_PET;Polymers
peth;K27357;D_PU;Polymers
peth;K27357;D_PCL;Polymers
peth;K27357;D_PET;Polymers
phaY2;K22250;D_PHB;Polymers
phaY2;K22250;D_PHA;Polymers
phaY2;K22249;D_PHB;Polymers
phaY2;K22249;D_PHA;Polymers
phaY2;K05973;D_PHB;Polymers
phaY2;K05973;D_PHA;Polymers
phaZ;K05973;D_P4HB;Polymers
phaZ;K05973;D_PEA;Polymers
phaZ;K05973;D_P3HP;Polymers
phaZ;K05973;D_PHBV;Polymers
phaZ;K05973;D_PHO;Polymers
phaZ;K05973;D_PPL;Polymers
phaZ;K05973;D_PHB;Polymers
phaZ;K05973;D_PHA;Polymers
phaZ;K05973;D_PHPV;Polymers
phaZ;K05973;D_PCL;Polymers
phaZ;K05973;D_PES;Polymers
phaZ;K01061;D_P4HB;Polymers
phaZ;K01061;D_PEA;Polymers
phaZ;K01061;D_P3HP;Polymers
phaZ;K01061;D_PHBV;Polymers
phaZ;K01061;D_PHO;Polymers
phaZ;K01061;D_PPL;Polymers
phaZ;K01061;D_PHB;Polymers
phaZ;K01061;D_PHA;Polymers
phaZ;K01061;D_PHPV;Polymers
phaZ;K01061;D_PCL;Polymers
phaZ;K01061;D_PES;Polymers
phaZ;K22249;D_P4HB;Polymers
phaZ;K22249;D_PEA;Polymers
phaZ;K22249;D_P3HP;Polymers
phaZ;K22249;D_PHBV;Polymers
phaZ;K22249;D_PHO;Polymers
phaZ;K22249;D_PPL;Polymers
phaZ;K22249;D_PHB;Polymers
phaZ;K22249;D_PHA;Polymers
phaZ;K22249;D_PHPV;Polymers
phaZ;K22249;D_PCL;Polymers
phaZ;K22249;D_PES;Polymers
phaZ;K03932;D_P4HB;Polymers
phaZ;K03932;D_PEA;Polymers
phaZ;K03932;D_P3HP;Polymers
phaZ;K03932;D_PHBV;Polymers
phaZ;K03932;D_PHO;Polymers
phaZ;K03932;D_PPL;Polymers
phaZ;K03932;D_PHB;Polymers
phaZ;K03932;D_PHA;Polymers
phaZ;K03932;D_PHPV;Polymers
phaZ;K03932;D_PCL;Polymers
phaZ;K03932;D_PES;Polymers
phaZ;K07518;D_P4HB;Polymers
phaZ;K07518;D_PEA;Polymers
phaZ;K07518;D_P3HP;Polymers
phaZ;K07518;D_PHBV;Polymers
phaZ;K07518;D_PHO;Polymers
phaZ;K07518;D_PPL;Polymers
phaZ;K07518;D_PHB;Polymers
phaZ;K07518;D_PHA;Polymers
phaZ;K07518;D_PHPV;Polymers
phaZ;K07518;D_PCL;Polymers
phaZ;K07518;D_PES;Polymers
phaZ;K22250;D_P4HB;Polymers
phaZ;K22250;D_PEA;Polymers
phaZ;K22250;D_P3HP;Polymers
phaZ;K22250;D_PHBV;Polymers
phaZ;K22250;D_PHO;Polymers
phaZ;K22250;D_PPL;Polymers
phaZ;K22250;D_PHB;Polymers
phaZ;K22250;D_PHA;Polymers
phaZ;K22250;D_PHPV;Polymers
phaZ;K22250;D_PCL;Polymers
phaZ;K22250;D_PES;Polymers
phaZ1;K22250;D_PHA;Polymers
phaZ1;K22250;D_PHB;Polymers
phaZ1;K22249;D_PHA;Polymers
phaZ1;K22249;D_PHB;Polymers
phaZ1;K05973;D_PHA;Polymers
phaZ1;K05973;D_PHB;Polymers
phaZ2;K05973;D_PHB;Polymers
phaZ2;K05973;D_PHA;Polymers
phaZ2;K22249;D_PHB;Polymers
phaZ2;K22249;D_PHA;Polymers
phaZ2;K22250;D_PHB;Polymers
phaZ2;K22250;D_PHA;Polymers
phaZ2;K07518;D_PHB;Polymers
phaZ2;K07518;D_PHA;Polymers
phaZ3;K05973;D_PHB;Polymers
phaZ3;K05973;D_PHA;Polymers
phaZ3;K22250;D_PHB;Polymers
phaZ3;K22250;D_PHA;Polymers
phaZ3;K22249;D_PHB;Polymers
phaZ3;K22249;D_PHA;Polymers
phaZ4;K05973;D_PHA;Polymers
phaZ4;K05973;D_PHB;Polymers
phaZ5;K05973;D_PHA;Polymers
phaZ5;K05973;D_PHB;Polymers
phaZ6;K05973;D_PHA;Polymers
phaZ6;K05973;D_PHB;Polymers
phaZ7;K05973;D_PHB;Polymers
phaZ7;K05973;D_PHA;Polymers
phaZbd;K22249;D_PHA;Polymers
phaZCac;K05973;D_PHA;Polymers
phaZCac;K05973;D_PHB;Polymers
phaZCac;K05973;D_PES;Polymers
phaZCac;K05973;D_PEA;Polymers
phaZCac;K05973;D_P4HB;Polymers
phaZCac;K05973;D_P3HP;Polymers
phaZd;K05973;D_PHB;Polymers
phaZd;K05973;D_PHA;Polymers
phaZd;K05973;D_PHBV;Polymers
phaZPfu;K03932;D_PHA;Polymers
phaZPfu;K03932;D_PHB;Polymers
phaZpst;K03932;D_PEA;Polymers
phaZpst;K03932;D_PHB;Polymers
phaZpst;K03932;D_P3HP;Polymers
phaZpst;K03932;D_PES;Polymers
phaZpst;K03932;D_P4HB;Polymers
plaA;K01046;D_PLA;Polymers
PLAase2;K01416;D_PCL;Polymers
PLAase3;K18546;D_PLA;Polymers
plaM4;K01046;D_PBS;Polymers
plaM4;K01046;D_PES;Polymers
plaM4;K01046;D_PHA;Polymers
plaM4;K01046;D_PBSA;Polymers
plaM4;K01046;D_PCL;Polymers
plaM4;K01046;D_PHB;Polymers
plaM4;K01046;D_PLA;Polymers
plaM5;K01046;D_PLA;Polymers
pnbA;K03929;D_PET;Polymers
pudA;K03929;D_PU;Polymers
pulA;K01200;D_PU;Polymers
pvaA;K05889;D_PVA;Polymers
roxA;K22690;D_NR;Polymers
roxB;K23118;D_NR;Polymers
RPA1511;K06049;D_PCL;Polymers
RPA1511;K06049;D_PBSA;Polymers
RPA1511;K06049;D_PLA;Polymers
Rru_A1969;K03932;D_PHA;Polymers
Rru_A1969;K03932;D_PHB;Polymers
SAMN04487908_10753;K21104;D_PCL;Polymers
SAMN04487908_10753;K21104;D_PU;Polymers
SUBB_LEDLE;K01342;D_PLA;Polymers
subC;K13277;D_PLA;Polymers
subC;K01342;D_PLA;Polymers
SUBS_LEDLE;K01342;D_PLA;Polymers
Tcur_0390;K21104;D_PCL;Polymers
Tcur_0390;K21104;D_PET;Polymers
Tcur_1278;K21104;D_PET;Polymers
WG66_16246;K08095;D_PES;Polymers
WG66_16246;K08095;D_PET;Polymers
WG66_16246;K08095;D_PCL;Polymers
WG66_16246;K27308;D_PES;Polymers
WG66_16246;K27308;D_PET;Polymers
WG66_16246;K27308;D_PCL;Polymers
amsY;K15659;E_Amphisin;Biosurfactant
arfA;K15658;E_Arthrofactin;Biosurfactant
arfB;K15659;E_Arthrofactin;Biosurfactant
arfC;K15660;E_Arthrofactin;Biosurfactant
at;K00661;E_Sophorolipids;Biosurfactant
at;K00633;E_Sophorolipids;Biosurfactant
emt1;K05841;E_Mannosylerythritol_lipids_MEL;Biosurfactant
ffp;K06133;E_Fengacyn;Biosurfactant
ituA;K15661;E_Iturin;Biosurfactant
ituB;K15663;E_Iturin;Biosurfactant
ituB;K15662;E_Iturin;Biosurfactant
ituC;K15662;E_Iturin;Biosurfactant
ituC;K15663;E_Iturin;Biosurfactant
ituD;K00645;E_Iturin;Biosurfactant
ituD;K15327;E_Iturin;Biosurfactant
ituD;K15329;E_Iturin;Biosurfactant
mycA;K15661;E_Mycosubtilin;Biosurfactant
mycB;K15662;E_Mycosubtilin;Biosurfactant
mycB;K15663;E_Mycosubtilin;Biosurfactant
mycC;K15662;E_Mycosubtilin;Biosurfactant
mycC;K15663;E_Mycosubtilin;Biosurfactant
ppsA;K15666;E_Plipastatin;Biosurfactant
ppsA;K15667;E_Plipastatin;Biosurfactant
ppsA;K15664;E_Plipastatin;Biosurfactant
ppsB;K15665;E_Plipastatin;Biosurfactant
ppsC;K15667;E_Plipastatin;Biosurfactant
ppsC;K15664;E_Plipastatin;Biosurfactant
ppsC;K15666;E_Plipastatin;Biosurfactant
ppsD;K15667;E_Plipastatin;Biosurfactant
ppsD;K15664;E_Plipastatin;Biosurfactant
ppsD;K15666;E_Plipastatin;Biosurfactant
ppsE;K02364;E_Plipastatin;Biosurfactant
ppsE;K15656;E_Plipastatin;Biosurfactant
ppsE;K15668;E_Plipastatin;Biosurfactant
pswP;K11062;E_Serrawetin;Biosurfactant
rhlA;K18100;E_Rhamnolipids;Biosurfactant
rhlC;K12990;E_Rhamnolipids;Biosurfactant
rhlR;K07782;E_Rhamnolipids;Biosurfactant
rhlR;K19734;E_Rhamnolipids;Biosurfactant
rhlR;K15852;E_Rhamnolipids;Biosurfactant
rhlR;K18099;E_Rhamnolipids;Biosurfactant
sfp;K06133;E_Surfactin;Biosurfactant
srfAA;K15654;E_Surfactin;Biosurfactant
srfAA;K15655;E_Surfactin;Biosurfactant
srfAA;K16119;E_Surfactin;Biosurfactant
srfAB;K15654;E_Surfactin;Biosurfactant
srfAB;K15655;E_Surfactin;Biosurfactant
srfAB;K16120;E_Surfactin;Biosurfactant
wzb;K01104;E_Emulsan;Biosurfactant
wzb;K20945;E_Emulsan;Biosurfactant
wzb;K25307;E_Emulsan;Biosurfactant
wzc;K16692;E_Emulsan;Biosurfactant
